Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00066643,-4.8401E-05,0.068162,0,0,0,9.7565,0.028321,7.0431E-06,1.0437E-05,0.033624,-2.4398E-08,0.053863,0,0,0,0,0,0,package://stoch3/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://stoch3/meshes/base_link.STL,,base_link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
fl_abd_link,0.061349,-0.019504,-7.6667E-06,0,0,0,0.94517,0.00061416,5.7906E-07,-3.8412E-06,0.0010243,-1.6902E-06,0.00060713,0,0,0,0,0,0,package://stoch3/meshes/fl_abd_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://stoch3/meshes/fl_abd_link.STL,,fl_abd_link-1,Origin_fl_abd_joint,Axis_fl_abd_joint,fl_abd_joint,continuous,0.206917503877324,0.101500000000002,0.0540300000000024,0,0,0,base_link,1,0,0,,,,,,,,,,,,
fl_thigh_link,0.0014376,0.077483,-0.055275,0,0,0,2.4957,0.0049396,4.7834E-05,-3.2241E-06,0.0054131,-1.5857E-06,0.0011512,0,0,0,0,0,0,package://stoch3/meshes/fl_thigh_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://stoch3/meshes/fl_thigh_link.STL,,fl_thigh_link-1,Origin_fl_hip_joint,Axis_fl_hip_joint,fl_hip_joint,continuous,0.06378709521538,0.0139999999999987,0,0,-3.14584042145611E-05,0,fl_abd_link,0,-1,0,,,,,,,,,,,,
fl_shank_link,-0.014616,-6.6962E-07,-0.11828,0,0,0,0.37918,0.0021646,5.617E-09,-4.4468E-05,0.0022225,3.9894E-08,6.6686E-05,0,0,0,0,0,0,package://stoch3/meshes/fl_shank_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://stoch3/meshes/fl_shank_link.STL,,fl_shank_link-1,Origin_fl_knee_joint,Axis_fl_knee_joint,fl_knee_joint,continuous,0,0.111399999999998,-0.296999999853041,0,3.14584042149928E-05,0,fl_thigh_link,0,-1,0,,,,,,,,,,,,
fl_foot_link,-0.002284,1.3576E-09,-0.00088478,0,0,0,0.045737,9.5407E-06,2.684E-12,3.6498E-06,2.2177E-05,-2.874E-12,1.5638E-05,0,0,0,0,0,0,package://stoch3/meshes/fl_foot_link.STL,0,0,0,1,0,0,0,0,0,0,package://stoch3/meshes/fl_foot_link.STL,,fl_foot_link-1,Origin_fl_ankle_joint,Axis_fl_ankle_joint,fl_ankle_joint,fixed,-0.0387027357719667,0,-0.318885758822184,0,0,0,fl_shank_link,0,0,0,,,,,,,,,,,,
fr_abd_link,0.06156,0.019504,-0.00021624,0,0,0,0.94517,0.00061326,3.2241E-07,1.5152E-08,0.0010243,-3.8552E-06,0.00060803,0,0,0,0,0,0,package://stoch3/meshes/fr_abd_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://stoch3/meshes/fr_abd_link.STL,,fr_abd_link-1,Origin_fr_abd_joint,Axis_fr_abd_joint,fr_abd_joint,continuous,0.206925357517166,-0.101499999999999,0.0540300000000003,0,0,0,base_link,1,0,0,,,,,,,,,,,,
fr_thigh_link,0.00144107858196152,-0.07748346487516,-0.0551703662273829,0,0,0,2.49567510872212,0.00493964200419569,-4.78342957937469E-05,3.2241369041665E-06,0.00541305231980369,-1.61934782864799E-06,0.00115115548345638,0,0,0,0,0,0,package://stoch3/meshes/fr_thigh_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://stoch3/meshes/fr_thigh_link.STL,,fr_thigh_link-1,Origin_fr_hip_joint,Axis_fr_hip_joint,fr_hip_joint,continuous,0.06377924157554,-0.0139999999999988,0,0,3.145840420901E-05,0,fr_abd_link,0,1,0,,,,,,,,,,,,
fr_shank_link,-0.014616,-6.6962E-07,-0.11828,0,0,0,0.37918,0.0021646,5.617E-09,-4.4468E-05,0.0022225,3.9894E-08,6.6686E-05,0,0,0,0,0,0,package://stoch3/meshes/fr_shank_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://stoch3/meshes/fr_shank_link.STL,,fr_shank_link-1,Origin_fr_knee_joint,Axis_fr_knee_joint,fr_knee_joint,continuous,0,-0.111599999999999,-0.29699999985303,0,-3.14584042085783E-05,0,fr_thigh_link,0,-1,0,,,,,,,,,,,,
fr_foot_link,-0.002284,1.3576E-09,-0.00088478,0,0,0,0.045737,9.5407E-06,2.684E-12,3.6498E-06,2.2177E-05,-2.874E-12,1.5638E-05,0,0,0,0,0,0,package://stoch3/meshes/fr_foot_link.STL,0,0,0,1,0,0,0,0,0,0,package://stoch3/meshes/fr_foot_link.STL,,fr_foot_link-1,Origin_fr_ankle_joint,Axis_fr_ankle_joint,fr_ankle_joint,fixed,-0.038702735772012,0,-0.318885758822109,0,0,0,fr_shank_link,0,0,0,,,,,,,,,,,,
bl_abd_link,0.030793,-0.019504,-0.00042262,0,0,0,0.94517,0.00061091,-9.6216E-07,-1.2691E-06,0.0010243,1.7068E-06,0.00061038,0,0,0,0,0,0,package://stoch3/meshes/bl_abd_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://stoch3/meshes/bl_abd_link.STL,,bl_abd_link-1,Origin_bl_abd_joint,Axis_bl_abd_joint,bl_abd_joint,continuous,-0.299402452130055,0.101499999999997,0.0540300000000009,0,0,0,base_link,-1,0,0,,,,,,,,,,,,
